SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4298.JPG,59.4440638888889,18.0442611111111,authS,2022-08-16T21:28:02Z,20.9845666,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4265.JPG,58.9767138888889,16.1942833333333,authS,2022-08-16T21:27:59Z,26.32695838,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4271.JPG,NA,NA,authS,2022-08-16T21:27:59Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4265.JPG,58.9767138888889,16.1942833333333,26.32695838,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4649.JPG,NA,NA,authS,2022-08-16T21:27:58Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4305.JPG,59.4428972222222,18.0606944444444,NA,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4305.JPG,59.4428972222222,18.0606944444444,authS,2022-08-16T21:27:58Z,NA,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4304.JPG,NA,NA,authS,2022-08-16T21:28:00Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4306.JPG,59.44255,18.0627583333333,6.513564818,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4310.JPG,NA,NA,authS,2022-08-16T21:28:00Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4306.JPG,59.44255,18.0627583333333,6.513564818,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4248.JPG,NA,NA,authS,2022-08-16T21:28:10Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4590.HEIC,59.7387805555556,18.9266027777778,-0.2324932995,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4274.JPG,NA,NA,authS,2022-08-16T21:28:10Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4590.HEIC,59.7387805555556,18.9266027777778,-0.2324932995,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4300.JPG,55.9137222222222,37.5550611111111,authS,2022-08-16T21:28:09Z,239.9938176,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4301.JPG,NA,NA,authS,2022-08-16T21:28:15Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4667.HEIC,59.4441333333333,18.0721833333333,NA,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4739.JPG,NA,NA,authS,2022-08-16T21:28:13Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4787.HEIC,59.4441138888889,18.044475,20.98499559,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4275.JPG,NA,NA,authS,2022-08-16T21:28:11Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4249.JPG,59.344875,18.0582861111111,24.94574857,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4261.JPG,NA,NA,authS,2022-08-16T21:28:11Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4249.JPG,59.344875,18.0582861111111,24.94574857,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4249.JPG,59.344875,18.0582861111111,authS,2022-08-16T21:28:11Z,24.94574857,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4277.JPG,NA,NA,authS,2022-08-16T21:28:06Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4573.HEIC,59.617875,18.7611611111111,5.374783897,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4698.JPG,59.44415,18.0443527777778,authS,2022-08-16T21:28:05Z,21.00897026,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4897.JPG,NA,NA,authS,2022-08-16T21:28:05Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4698.JPG,59.44415,18.0443527777778,21.00897026,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4303.JPG,NA,NA,authS,2022-08-16T21:28:05Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4698.JPG,59.44415,18.0443527777778,21.00897026,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4302.JPG,45.3260166666667,14.4435694444444,authS,2022-08-16T21:28:09Z,16.0031348,NA,NA,NA,NA,NA
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4262.JPG,NA,NA,authS,2022-08-16T21:28:07Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4676.HEIC,59.4442222222222,18.0443583333333,20.69125364,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4211.JPG,NA,NA,authS,2022-08-16T21:28:26Z,NA,/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4942.HEIC,61.0050277777778,14.5385555555556,184.2689368,0
/Users/sergey/Pictures/iPhone Sergey/DCIM/114APPLE/IMG_4577.JPG,59.6172861111111,18.7615194444444,authS,2022-08-16T21:28:27Z,6.80450344,NA,NA,NA,NA,NA
