,Unnamed: 0,SourceFile,cust.GPSLatt,cust.GPSLong,cust.author,cust.MediaDate,cust.GPSAlt,suggested.SourceFile,suggested.cust.GPSLatt,suggested.cust.GPSLong,suggested.cust.GPSAlt,suggested.time.diff,suggested.approved
66,66,/Users/sergey/Pictures/exports/julshow2021/DSC08916.jpg,,,authS,2021-12-20T02:05:59Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.55,
67,67,/Users/sergey/Pictures/exports/julshow2021/DSC09605.jpg,,,authS,2021-12-20T02:07:27Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.525555555556,
68,68,/Users/sergey/Pictures/exports/julshow2021/DSC09599.jpg,,,authS,2021-12-20T02:07:26Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.525833333333,
69,69,/Users/sergey/Pictures/exports/julshow2021/DSC09566.jpg,,,authS,2021-12-20T02:07:22Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.526944444444,
70,70,/Users/sergey/Pictures/exports/julshow2021/DSC09404.jpg,,,authS,2021-12-20T02:07:12Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.529722222222,
71,71,/Users/sergey/Pictures/exports/julshow2021/DSC09410.jpg,,,authS,2021-12-20T02:07:14Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.529166666667,
72,72,/Users/sergey/Pictures/exports/julshow2021/DSC09558.jpg,,,authS,2021-12-20T02:07:22Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.526944444444,
73,73,/Users/sergey/Pictures/exports/julshow2021/DSC09203.jpg,,,authS,2021-12-20T02:06:36Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.539722222222,
74,74,/Users/sergey/Pictures/exports/julshow2021/DSC09834.jpg,,,authS,2021-12-20T02:07:34Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.523611111111,
75,75,/Users/sergey/Pictures/exports/julshow2021/DSC08928.jpg,,,authS,2021-12-20T02:06:02Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.549166666667,
76,76,/Users/sergey/Pictures/exports/julshow2021/DSC09377.jpg,,,authS,2021-12-20T02:07:10Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.530277777778,
77,77,/Users/sergey/Pictures/exports/julshow2021/DSC09884.jpg,,,authS,2021-12-20T02:07:35Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.523333333333,
78,78,/Users/sergey/Pictures/exports/julshow2021/DSC09106.jpg,,,authS,2021-12-20T02:06:21Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.543888888889,
79,79,/Users/sergey/Pictures/exports/julshow2021/DSC09271.jpg,,,authS,2021-12-20T02:06:50Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.535833333333,
80,80,/Users/sergey/Pictures/exports/julshow2021/DSC09675.jpg,,,authS,2021-12-20T02:07:30Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.524722222222,
81,81,/Users/sergey/Pictures/exports/julshow2021/DSC09893.jpg,,,authS,2021-12-20T02:07:37Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.522777777778,
82,82,/Users/sergey/Pictures/exports/julshow2021/DSC09918.jpg,,,authS,2021-12-20T02:07:38Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.5225,
83,83,/Users/sergey/Pictures/exports/julshow2021/DSC09312.jpg,,,authS,2021-12-20T02:06:59Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.533333333333,
84,84,/Users/sergey/Pictures/exports/julshow2021/DSC09470.jpg,,,authS,2021-12-20T02:07:17Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.528333333333,
85,85,/Users/sergey/Pictures/exports/julshow2021/DSC09316.jpg,,,authS,2021-12-20T02:07:00Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.533055555556,
86,86,/Users/sergey/Pictures/exports/julshow2021/DSC09869.jpg,,,authS,2021-12-20T02:07:35Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.523333333333,
87,87,/Users/sergey/Pictures/exports/julshow2021/DSC09538.jpg,,,authS,2021-12-20T02:07:18Z,,/Users/sergey/Pictures/exports/IMG_4952 copy.jpg,61.0058944444444,14.5421027777778,163.9476471,659.528055555556,
